0 BU423 700 2300
1 BUS27 710 700
2 BU428 730 2215
3 CL939 750 2150
4 BU412 750 1450
5 CL881 800 1600
6 BU920 800 720
7 BU518 800 1750
8 BU600 800 1920
9 BU939 830 830
10 BU736 830 630
11 BU806 900 1700
12 BU950 900 1000
13 BU946 1000 850
14 BU918 1000 1750
15 CLA82 1000 1920
16 BU679 1000 2050
17 CLA59 1000 1950
18 BU577 1030 1430
19 BU760 1030 1730
20 BU949 1030 1750
21 BU505 1030 1220
22 BU873 1100 930
23 BU426 1130 1850
24 BU958 1130 1020
25 BU884 1145 1845
26 BU413 1215 550
27 CL847 1230 2050
28 BU840 1300 1120
29 BU462 1300 1450
30 BU001 1300 600
31 BU865 1330 2030
32 BU125 1345 2045
33 BU543 1400 1950
34 BU658 1400 550
35 BU565 1430 2050
36 BU888 1430 2020
37 BU829 1535 1550
38 BU625 1545 550
39 BU547 1600 2300
40 BU916 1700 1550
41 CL400 1700 700
42 BU425 1700 2000
43 BU396 1700 2050
44 BU828 1730 1830
45 CL662 1730 720
46 BU836 1800 2320
47 BU133 1800 900
48 BU773 1815 2350
49 BUS28 1820 1515
50 BU711 1830 1720
51 CLA93 1930 700
52 CL902 1930 920
53 CLA44 1945 1140
54 CL561 1950 730
55 BU841 1950 1820
56 BU420 2000 1130
57 CL946 2000 900
58 BU974 2000 2100
59 CLA27 2000 830
60 BUS66 2000 1020
61 CL930 2030 800
62 CL688 2030 850
63 CL307 2040 700
64 CL977 2045 645
65 CL305 2045 930
66 CL708 2050 940
67 BU694 2100 1910
68 CL106 2100 705
69 BU678 2100 820
70 CL898 2105 750
71 CL892 2110 800
72 CL286 2115 715
73 CL989 2120 720
74 CL804 2130 750
75 CL679 2130 950
76 CL620 2130 910
77 BU558 2130 1350
78 CL935 2130 910
79 CL100 2130 800
80 CL623 2145 740
81 BU912 2150 820
82 CL536 2150 720
83 CL739 2200 950
84 CL618 2200 840
85 CL511 2215 740
86 CL266 2215 820
87 BU843 2220 2030
88 CL849 2230 630
89 BU697 2230 2100
90 CLS66 2235 700
91 CL107 2245 915
92 CL326 2300 810
93 CL848 2300 700
94 CLA19 2300 710
95 BU809 2300 620
96 BU903 2315 950
97 BU431 2315 615
98 BU121 2330 630
99 BU564 2350 650
100 BU421 2359 2310
101 BU554 3130 3450
102 CL939 3150 4550
103 BU412 3150 3850
104 CL881 3200 4000
105 BU920 3200 3120
106 BU518 3200 4150
107 BU600 3200 4320
108 BU939 3230 3230
109 BU736 3230 3030
110 BU806 3300 4100
111 BU950 3300 3400
112 BU946 3400 3250
113 BU918 3400 4150
114 CLA82 3400 4320
115 BU679 3400 4450
116 CLA59 3400 4350
117 BU577 3430 3830
118 BU760 3430 4130
119 BU949 3430 4150
120 BU505 3430 3620
121 BU873 3500 3330
122 BU426 3530 4250
123 BU958 3530 3420
124 BU884 3545 4245
125 BU413 3615 2950
126 CL847 3630 4450
127 BU840 3700 3520
128 BU462 3700 3850
129 BU001 3700 3000
130 BU865 3730 4430
131 BU125 3745 4445
132 BU543 3800 4350
133 BU658 3800 2950
134 BU565 3830 4450
135 BU888 3830 4420
136 BU829 3935 3950
137 BU625 3945 2950
138 BU547 4000 4700
139 BU916 4100 3950
140 CL400 4100 3100
141 BU425 4100 4400
142 BU396 4100 4450
143 BU828 4130 4230
144 CL662 4130 3120
145 BU836 4200 4720
146 BU133 4200 3300
147 BU773 4215 4750
148 BUS28 4220 3915
149 BU711 4230 4120
150 CLA93 4330 3100
151 CL902 4330 3320
152 CLA44 4345 3540
153 CL561 4350 3130
154 BU841 4350 4220
155 BU420 4400 3530
156 CL946 4400 3300
157 BU974 4400 4500
158 CLA27 4400 3230
159 BUS66 4400 3420
160 CL930 4430 3200
161 CL688 4430 3250
162 CL307 4440 3100
163 CL977 4445 3045
164 CL305 4445 3330
165 CL708 4450 3340
166 BU694 4500 4310
167 CL106 4500 3105
168 BU678 4500 3220
169 CL898 4505 3150
170 CL892 4510 3200
171 CL286 4515 3115
172 CL989 4520 3120
173 CL804 4530 3150
174 CL679 4530 3350
175 CL620 4530 3310
176 BU558 4530 3750
177 CL935 4530 3310
178 CL100 4530 3200
179 CL623 4545 3140
180 BU912 4550 3220
181 CL536 4550 3120
182 CL739 4600 3350
183 CL618 4600 3240
184 CL511 4615 3140
185 CL266 4615 3220
186 BU843 4620 4430
187 CL849 4630 3030
188 BU697 4630 4500
189 CLS66 4635 3100
190 CL107 4645 3315
191 CL326 4700 3210
192 CL848 4700 3100
193 CLA19 4700 3110
194 BU903 4715 3350
195 BU431 4715 3015
196 BU121 4730 3030
197 BU564 4750 3050
198 BU421 4759 4710
199 BU886 4759 3059
200 CL402 5420 6920
201 BU423 5500 7100
202 BUS27 5510 5500
203 BU554 5530 5850
204 BU428 5530 7015
205 BU412 5550 6250
206 CL881 5600 6400
207 BU920 5600 5520
208 BU518 5600 6550
209 BU600 5600 6720
210 BU939 5630 5630
211 BU736 5630 5430
212 BU806 5700 6500
213 BU950 5700 5800
214 BU946 5800 5650
215 BU918 5800 6550
216 CLA82 5800 6720
217 BU679 5800 6850
218 CLA59 5800 6750
219 BU577 5830 6230
220 BU760 5830 6530
221 BU949 5830 6550
222 BU505 5830 6020
223 BU873 5900 5730
224 BU426 5930 6650
225 BU958 5930 5820
226 BU884 5945 6645
227 BU413 6015 5350
228 CL847 6030 6850
229 BU840 6100 5920
230 BU462 6100 6250
231 BU001 6100 5400
232 BU865 6130 6830
233 BU125 6145 6845
234 BU543 6200 6750
235 BU658 6200 5350
236 BU565 6230 6850
237 BU888 6230 6820
238 BU829 6335 6350
239 BU625 6345 5350
240 BU547 6400 7100
241 BU916 6500 6350
242 CL400 6500 5500
243 BU425 6500 6800
244 BU396 6500 6850
245 BU828 6530 6630
246 CL662 6530 5520
247 BU836 6600 7120
248 BU133 6600 5700
249 BU773 6615 7150
250 BUS28 6620 6315
251 BU711 6630 6520
252 CLA93 6730 5500
253 CL902 6730 5720
254 CLA44 6745 5940
255 CL561 6750 5530
256 BU841 6750 6620
257 BU420 6800 5930
258 CL946 6800 5700
259 BU974 6800 6900
260 CLA27 6800 5630
261 BUS66 6800 5820
262 CL930 6830 5600
263 CL688 6830 5650
264 CL307 6840 5500
265 CL977 6845 5445
266 CL305 6845 5730
267 CL708 6850 5740
268 BU694 6900 6710
269 CL106 6900 5505
270 BU678 6900 5620
271 CL898 6905 5550
272 CL892 6910 5600
273 CL286 6915 5515
274 CL989 6920 5520
275 CL804 6930 5550
276 CL679 6930 5750
277 CL620 6930 5710
278 BU558 6930 6150
279 CL935 6930 5710
280 CL100 6930 5600
281 CL623 6945 5540
282 BU912 6950 5620
283 CL536 6950 5520
284 CL739 7000 5750
285 CL618 7000 5640
286 CL511 7015 5540
287 CL266 7015 5620
288 BU843 7020 6830
289 CL849 7030 5430
290 BU697 7030 6900
291 CLS66 7035 5500
292 CL107 7045 5715
293 CL326 7100 5610
294 CL848 7100 5500
295 CLA19 7100 5510
296 BU809 7100 5420
297 BU121 7130 5430
298 BU439 7130 5350
299 BU564 7150 5450
300 BU421 7159 7110
